Game #,Genetic Algorithms,Simulated Annealing,Tree Search
0,4.0,4.0,50.0
1,4.0,4.0,50.0
2,4.0,4.0,50.0
3,4.0,5.0,52.0
4,11.0,8.0,53.0
5,76.0,103.0,100.0
6,16.0,30.0,57.0
7,85.0,,93.0
8,84.0,123.0,176.0
9,,,
10,158.0,148.0,190.0
11,153.0,196.0,150.0
12,131.0,169.0,150.0
13,192.0,215.0,192.0
14,145.0,163.0,177.0
15,191.0,231.0,135.0
16,253.0,219.0,135.0
17,210.0,129.0,177.0
18,284.0,546.0,311.0
19,415.0,750.0,325.0
20,175.0,286.0,242.0
21,343.0,289.0,292.0
22,432.0,445.0,300.0
23,360.0,331.0,300.0
24,,379.0,312.0
